vids freq
GRK_AGIA39_1_3 0.038501
GRK_AGIA39_1_3 0.034345
GRK_AGIA39_1_3 0.034917
GRK_AGIA39_1_3 0.034917
GRK_AGIA39_1_3 0.028808
GRK_AGIA39_1_3 0.041075
GRK_AGIA39_1_3 0.046716
GRK_AGIA39_1_3 0.046709
GRK_AGIA39_1_3 0.015839
GRK_AGIA39_1_3 0.047017
GRK_AGIA39_1_3 0.040254
GRK_AGIA39_1_3 0.047967
GRK_AGIA39_1_3 0.047533
GRK_AGIA39_1_3 0.044514
GRK_AGIA39_1_3 0.014271
GRK_AGIA39_1_3 0.036253
GRK_AGIA39_1_3 0.014099
GRK_AGIA39_1_3 0.030436
GRK_AGIA39_1_3 0.030431
GRK_AGIA39_1_3 0.025204
GRK_AGIA39_1_3 0.030882
GRK_AGIA39_1_3 0.014701
GRK_AGIA39_1_3 0.014392
GRK_AGIA39_1_3 0.029660
GRK_AGIA39_1_3 0.014759
GRK_AGIA39_1_3 0.015099
GRK_AGIA39_1_3 0.036471
GRK_AGIA39_1_3 0.041826
GRK_AGIA39_1_4 0.014247
GRK_AGIA39_1_4 0.043761
GRK_AGIA39_1_4 0.044397
GRK_AGIA39_1_4 0.038501
GRK_AGIA39_1_4 0.034345
GRK_AGIA39_1_4 0.034917
GRK_AGIA39_1_4 0.034917
GRK_AGIA39_1_4 0.028808
GRK_AGIA39_1_4 0.041075
GRK_AGIA39_1_4 0.046716
GRK_AGIA39_1_4 0.046709
GRK_AGIA39_1_4 0.015839
GRK_AGIA39_1_4 0.047017
GRK_AGIA39_1_4 0.040254
GRK_AGIA39_1_4 0.047967
GRK_AGIA39_1_4 0.047533
GRK_AGIA39_1_4 0.044514
GRK_AGIA39_1_4 0.014271
GRK_AGIA39_1_4 0.036253
GRK_AGIA39_1_4 0.014099
GRK_AGIA39_1_4 0.030436
GRK_AGIA39_1_4 0.030431
GRK_AGIA39_1_4 0.025204
GRK_AGIA39_1_4 0.030882
GRK_AGIA39_1_4 0.014701
GRK_AGIA39_1_4 0.014392
GRK_AGIA39_1_4 0.029660
GRK_AGIA39_1_4 0.014759
GRK_AGIA39_1_4 0.015099
GRK_AGIA39_1_4 0.036471
GRK_AGIA39_1_4 0.041826
GRK_AGIA39_1_5 0.014247
GRK_AGIA39_1_5 0.043761
GRK_AGIA39_1_5 0.044397
GRK_AGIA39_1_5 0.038501
GRK_AGIA39_1_5 0.034345
GRK_AGIA39_1_5 0.034917
GRK_AGIA39_1_5 0.034917
GRK_AGIA39_1_5 0.028808
GRK_AGIA39_1_5 0.041075
GRK_AGIA39_1_5 0.046716
GRK_AGIA39_1_5 0.046709
GRK_AGIA39_1_5 0.015839
GRK_AGIA39_1_5 0.047017
GRK_AGIA39_1_5 0.040254
GRK_AGIA39_1_5 0.047967
GRK_AGIA39_1_5 0.047533
GRK_AGIA39_1_5 0.044514
GRK_AGIA39_1_5 0.014271
GRK_AGIA39_1_5 0.036253
GRK_AGIA39_1_5 0.014099
GRK_AGIA39_1_5 0.030436
GRK_AGIA39_1_5 0.030431
GRK_AGIA39_1_5 0.025204
GRK_AGIA39_1_5 0.030882
GRK_AGIA39_1_5 0.014701
GRK_AGIA39_1_5 0.014392
GRK_AGIA39_1_5 0.029660
GRK_AGIA39_1_5 0.014759
GRK_AGIA39_1_5 0.015099
GRK_AGIA39_1_5 0.036471
GRK_AGIA39_1_5 0.041826
GRK_AGIA39_1_6 0.014247
GRK_AGIA39_1_6 0.043761
GRK_AGIA39_1_6 0.044397
GRK_AGIA39_1_6 0.038501
GRK_AGIA39_1_6 0.034345
GRK_AGIA39_1_6 0.034917
GRK_AGIA39_1_6 0.034917
GRK_AGIA39_1_6 0.028808
GRK_AGIA39_1_6 0.041075
GRK_AGIA39_1_6 0.046716
GRK_AGIA39_1_6 0.046709
GRK_AGIA39_1_6 0.015839
GRK_AGIA39_1_6 0.047017
GRK_AGIA39_1_6 0.040254
GRK_AGIA39_1_6 0.047967
GRK_AGIA39_1_6 0.047533
GRK_AGIA39_1_6 0.044514
GRK_AGIA39_1_6 0.014271
