vids freq
GRK_KERK57_1_55 1
GRK_KERK57_1_56 1
GRK_KERK57_1_57 1
GRK_KERK57_1_58 1
GRK_KERK57_1_59 1
GRK_KERK57_1_60 1
GRK_KERK57_1_61 1
GRK_KERK57_1_62 1
GRK_KERK57_1_63 1
GRK_KERK57_1_64 1
GRK_KERK57_1_65 1
GRK_KERK57_1_66 1
GRK_KERK57_1_67 1
GRK_KERK57_1_68 1
GRK_KERK57_1_69 1
GRK_KERK57_1_70 1
GRK_KERK57_1_71 1
GRK_KERK57_1_72 1
GRK_KERK57_1_73 1
GRK_KERK57_1_74 1
GRK_KERK57_1_75 1
GRK_KERK57_1_76 1
GRK_KERK57_1_77 1
GRK_KERK57_1_78 1
GRK_KERK57_1_79 1
GRK_KERK57_1_80 1
GRK_KERK57_1_81 1
GRK_KERK99_2_1 1
GRK_KERK99_2_2 1
GRK_KERK99_2_3 1
GRK_KERK99_2_4 1
GRK_KERK99_2_5 1
GRK_KERK99_2_6 1
GRK_KERK99_2_7 1
GRK_KERK99_2_8 1
GRK_KERK99_2_9 1
GRK_KERK99_2_10 1
GRK_KERK99_2_11 1
GRK_KERK99_2_12 1
GRK_KERK99_2_13 1
GRK_KERK99_2_14 1
GRK_KIAT100_2_1 1
GRK_KIAT100_2_2 1
GRK_KIAT100_2_3 1
GRK_KIAT100_2_4 1
GRK_KIAT100_2_5 1
GRK_KIAT19_0_1 1
GRK_KIAT19_0_2 1
GRK_KIAT58_1_1 1
GRK_KORI101_2_1 1
GRK_KORI101_2_2 1
GRK_KORI101_2_3 1
GRK_KORI101_2_4 1
GRK_KORI101_2_5 1
GRK_KORI101_2_6 1
GRK_KORI101_2_7 1
GRK_KORI101_2_8 1
GRK_KORI101_2_9 1
GRK_KORI101_2_10 1
GRK_KORI134_3_1 1
GRK_KORI150_4_1 1
GRK_KORI20_0_1 1
GRK_KORI20_0_2 1
GRK_KORI20_0_3 1
GRK_KORI20_0_4 1
GRK_KORI59_1_1 1
GRK_KORI59_1_2 1
GRK_KORI59_1_3 1
GRK_KORI59_1_4 1
GRK_KORI59_1_5 1
GRK_KORO102_2_1 1
GRK_KORO102_2_2 1
GRK_KORO60_1_1 1
GRK_KORO60_1_2 1
GRK_KORO60_1_3 1
GRK_KYLL103_2_1 1
GRK_KYLL103_2_2 1
GRK_KYLL135_3_1 1
GRK_KYLL135_3_2 1
GRK_KYLL135_3_3 1
GRK_KYLL135_3_4 1
GRK_KYLL151_4_1 1
GRK_KYLL151_4_2 1
GRK_KYLL21_0_1 1
GRK_KYLL61_1_1 1
GRK_KYLL61_1_2 1
GRK_KYLL61_1_3 1
GRK_KYLL61_1_4 1
GRK_KYLL61_1_5 1
GRK_KYLL61_1_6 1
GRK_KYLL61_1_7 1
GRK_KYLL61_1_8 1
GRK_KYLL61_1_9 1
GRK_KYLL61_1_10 1
GRK_KYPA104_2_1 1
GRK_KYPA62_1_1 1
GRK_KYPA62_1_2 1
GRK_KYPA62_1_3 1
GRK_LEYK105_2_1 1
GRK_LEYK105_2_2 1
GRK_LEYK105_2_3 1
GRK_LEYK105_2_4 1
GRK_LEYK105_2_5 1
GRK_LEYK105_2_6 1
GRK_LEYK105_2_7 1
GRK_LEYK105_2_8 1
GRK_LEYK105_2_9 1
GRK_LEYK105_2_10 1
GRK_LEYK105_2_11 1
GRK_LEYK105_2_12 1
GRK_LEYK105_2_13 1
GRK_LEYK105_2_14 1
GRK_LEYK105_2_15 1
GRK_LEYK105_2_16 1
GRK_LEYK105_2_17 1
GRK_LEYK105_2_18 1
GRK_LEYK105_2_19 1
GRK_LEYK105_2_20 1
GRK_LEYK105_2_21 1
GRK_LEYK105_2_22 1
GRK_LEYK105_2_23 1
GRK_LEYK105_2_24 1
GRK_LEYK105_2_25 1
GRK_LEYK136_3_1 1
GRK_LEYK136_3_2 1
GRK_LEYK152_4_1 1
GRK_LEYK152_4_2 1
GRK_LEYK152_4_3 1
GRK_LEYK152_4_4 1
GRK_LEYK152_4_5 1
GRK_LEYK22_0_1 1
GRK_LEYK22_0_2 1
GRK_LEYK22_0_3 1
GRK_LEYK22_0_4 1
GRK_LEYK22_0_5 1
GRK_LEYK22_0_6 1
GRK_LEYK63_1_1 1
GRK_LEYK63_1_2 1
GRK_LEYK63_1_3 1
GRK_LEYK63_1_4 1
GRK_LEYK63_1_5 1
GRK_LEYK63_1_6 1
GRK_LEYK63_1_7 1
GRK_LEYK63_1_8 1
GRK_LEYK63_1_9 1
GRK_LEYK63_1_10 1
GRK_LEYK63_1_11 1
GRK_LEYK63_1_12 1
GRK_LEYK63_1_13 1
GRK_LEYK63_1_14 1
GRK_LEYK63_1_15 1
GRK_LEYK63_1_16 1
GRK_LEYK63_1_17 1
GRK_LEYK63_1_18 1
GRK_LEYK63_1_19 1
GRK_LEYK63_1_20 1
GRK_LEYK63_1_21 1
GRK_LEYK63_1_22 1
GRK_LEYK63_1_23 1
GRK_LEYK63_1_24 1
GRK_LEYK63_1_25 1
GRK_LEYK63_1_26 1
GRK_LEYK63_1_27 1
GRK_LEYK63_1_28 1
GRK_LEYK63_1_29 1
GRK_LEYK63_1_30 1
GRK_LEYK63_1_31 1
GRK_LEYK63_1_32 1
GRK_LEYK63_1_33 1
GRK_LIXO106_2_1 1
GRK_LIXO106_2_2 1
GRK_LIXO23_0_1 1
GRK_LIXO23_0_2 1
GRK_LIXO64_1_1 1
GRK_LIXO64_1_2 1
GRK_LIXO64_1_3 1
GRK_LIXO64_1_4 1
GRK_LIXO64_1_5 1
GRK_LIXO64_1_6 1
GRK_LIXO64_1_7 1
GRK_LIXO64_1_8 1
GRK_LIXO64_1_9 1
GRK_LIXO64_1_10 1
GRK_LIXO64_1_11 1
GRK_LIXO64_1_12 1
GRK_MENI107_2_1 1
GRK_MENI24_0_1 1
GRK_MENI24_0_2 1
GRK_MENI24_0_3 1
GRK_MENI65_1_1 1
GRK_MENI65_1_2 1
GRK_MENI65_1_3 1
GRK_MENI65_1_4 1
