pt_graph abundance
203 0.0004677
203 0.0004677
203 0.0004677
203 0.0004677
203 0.0004677
203 0.0004677
203 0.0004677
204 0
204 0
204 0.00010702
204 0.00010702
204 0.00010702
204 0.00010702
204 0
204 0.00010702
204 0.00010702
204 0.00010702
204 0.00010702
204 0.00010702
204 0.00010702
204 0.00010702
205 0.00000492
205 0.00000492
205 0.00010702
205 0.00010702
205 0.00010702
205 0.00010702
205 0.00000492
205 0.00010702
205 0.00010702
205 0.00010702
205 0.00010702
205 0.00010702
205 0.00010702
205 0.00010702
206 0
206 0
206 0.00010702
206 0.00010702
206 0.00010702
206 0.00010702
206 0
206 0.00010702
206 0.00010702
206 0.00010702
206 0.00010702
206 0.00010702
206 0.00010702
206 0.00010702
207 0
207 0
207 0.00000959
207 0.00000959
207 0.00000959
207 0.00000959
207 0
207 0.00000959
207 0.00000959
207 0.00000959
207 0.00000959
207 0.00000959
207 0.00000959
207 0.00000959
208 0.00000492
208 0.00000492
208 0.00010702
208 0.00010702
208 0.00010702
208 0.00010702
208 0.00000492
208 0.00010702
208 0.00010702
208 0.00010702
208 0.00010702
208 0.00010702
208 0.00010702
208 0.00010702
209 0.00000492
209 0.00000492
209 0.00000959
209 0.00000959
209 0.00000959
209 0.00000959
209 0.00000492
209 0.00000959
209 0.00000959
209 0.00000959
209 0.00000959
209 0.00000959
209 0.00000959
209 0.00000959
210 0.00000492
210 0.00000492
210 0.00003237
210 0.00003237
210 0.00003237
210 0.00003237
210 0.00000492
210 0.00003237
210 0.00003237
210 0.00003237
210 0.00003237
210 0.00003237
210 0.00003237
210 0.00003237
211 0.00000492
211 0.00000492
211 0.00003237
211 0.00003237
211 0.00003237
211 0.00003237
211 0.00000492
211 0.00003237
211 0.00003237
211 0.00003237
211 0.00003237
211 0.00003237
211 0.00003237
211 0.00003237
229 0
229 0
229 0.00003237
229 0.00003237
229 0.00003237
229 0.00003237
229 0
229 0.00003237
229 0.00003237
229 0.00003237
229 0.00003237
229 0.00003237
229 0.00003237
229 0.00003237
230 0
230 0
230 0.00010702
230 0.00010702
230 0.00010702
230 0.00010702
230 0
230 0.00010702
230 0.00010702
230 0.00010702
230 0.00010702
230 0.00010702
230 0.00010702
230 0.00010702
231 0.00000492
231 0.00000492
231 0.00000959
231 0.00000959
231 0.00000959
231 0.00000959
231 0.00000492
231 0.00000959
231 0.00000959
231 0.00000959
231 0.00000959
231 0.00000959
231 0.00000959
231 0.00000959
232 0
232 0
232 0.00010702
232 0.00010702
232 0.00010702
232 0.00010702
232 0
232 0.00010702
232 0.00010702
232 0.00010702
232 0.00010702
232 0.00010702
232 0.00010702
232 0.00010702
233 0.00000492
233 0.00000492
233 0.00010702
233 0.00010702
233 0.00010702
233 0.00010702
233 0.00000492
233 0.00010702
233 0.00010702
233 0.00010702
233 0.00010702
233 0.00010702
233 0.00010702
233 0.00010702
234 0.00000492
234 0.00000492
234 0.00010702
234 0.00010702
234 0.00010702
234 0.00010702
234 0.00000492
234 0.00010702
234 0.00010702
234 0.00010702
234 0.00010702
234 0.00010702
234 0.00010702
234 0.00010702
235 0.00000492
235 0.00000492
235 0.00000959
235 0.00000959
235 0.00000959
235 0.00000959
235 0.00000492
235 0.00000959
235 0.00000959
235 0.00000959
235 0.00000959
235 0.00000959
235 0.00000959
235 0.00000959
236 0.00000492
236 0.00000492
236 0.00010702
236 0.00010702
236 0.00010702
236 0.00010702
236 0.00000492
236 0.00010702
236 0.00010702
236 0.00010702
236 0.00010702
236 0.00010702
236 0.00010702
236 0.00010702
237 0.00000492
237 0.00000492
237 0.00003237
237 0.00003237
237 0.00003237
237 0.00003237
237 0.00000492
237 0.00003237
237 0.00003237
237 0.00003237
237 0.00003237
237 0.00003237
237 0.00003237
237 0.00003237
238 0.00000492
238 0.00000492
238 0.00003237
238 0.00003237
238 0.00003237
238 0.00003237
238 0.00000492
238 0.00003237
238 0.00003237
238 0.00003237
238 0.00003237
238 0.00003237
238 0.00003237
238 0.00003237
239 0.00000492
239 0.00000492
239 0.00000959
239 0.00000959
239 0.00000959
239 0.00000959
239 0.00000492
239 0.00000959
239 0.00000959
239 0.00000959
239 0.00000959
239 0.00000959
239 0.00000959
239 0.00000959
240 0.00000492
240 0.00000492
240 0.0004677
240 0.0004677
240 0.0004677
240 0.0004677
240 0.00000492
240 0.0004677
240 0.0004677
240 0.0004677
240 0.0004677
240 0.0004677
240 0.0004677
240 0.0004677
241 0.00000492
241 0.00000492
241 0.00003237
241 0.00003237
241 0.00003237
241 0.00003237
241 0.00000492
241 0.00003237
241 0.00003237
241 0.00003237
241 0.00003237
241 0.00003237
241 0.00003237
241 0.00003237
242 0.00000492
242 0.00000492
242 0.00003237
242 0.00003237
242 0.00003237
242 0.00003237
242 0.00000492
242 0.00003237
242 0.00003237
242 0.00003237
242 0.00003237
242 0.00003237
242 0.00003237
242 0.00003237
272 0
272 0
272 0.00000959
272 0.00000959
272 0.00000959
272 0.00000959
272 0
272 0.00000959
272 0.00000959
272 0.00000959
272 0.00000959
272 0.00000959
272 0.00000959
272 0.00000959
273 0
273 0
273 0.00010702
273 0.00010702
273 0.00010702
273 0.00010702
273 0
273 0.00010702
273 0.00010702
273 0.00010702
273 0.00010702
273 0.00010702
273 0.00010702
273 0.00010702
274 0.00000492
274 0.00000492
274 0.00010702
274 0.00010702
274 0.00010702
274 0.00010702
