pt_graph abundance
177 0.00000673
177 0.00000673
177 0.00040687
177 0.00040687
177 0.00040687
177 0.00040687
177 0.00000673
177 0.00000673
177 0.00040687
177 0.00040687
177 0.00040687
177 0.00040687
177 0.00040687
177 0.00040687
178 0.00003434
178 0.00003434
178 0.00040687
178 0.00040687
178 0.00040687
178 0.00040687
178 0.00003434
178 0.00003434
178 0.00040687
178 0.00040687
178 0.00040687
178 0.00040687
178 0.00040687
178 0.00040687
179 0.00003434
179 0.00003434
179 0.00040687
179 0.00040687
179 0.00040687
179 0.00040687
179 0.00003434
179 0.00003434
179 0.00040687
179 0.00040687
179 0.00040687
179 0.00040687
179 0.00040687
179 0.00040687
180 0.00000673
180 0.00000673
180 0.00067843
180 0.00067843
180 0.00067843
180 0.00067843
180 0.00000673
180 0.00000673
180 0.00067843
180 0.00067843
180 0.00067843
180 0.00067843
180 0.00067843
180 0.00067843
181 0.00012774
181 0.00012774
181 0.00067843
181 0.00067843
181 0.00067843
181 0.00067843
181 0.00012774
181 0.00012774
181 0.00067843
181 0.00067843
181 0.00067843
181 0.00067843
181 0.00067843
181 0.00067843
182 0.00000673
182 0.00000673
182 0.00040687
182 0.00040687
182 0.00040687
182 0.00040687
182 0.00000673
182 0.00000673
182 0.00040687
182 0.00040687
182 0.00040687
182 0.00040687
182 0.00040687
182 0.00040687
200 0.00000673
200 0.00000673
200 0.00040687
200 0.00040687
200 0.00040687
200 0.00040687
200 0.00000673
200 0.00000673
200 0.00040687
200 0.00040687
200 0.00040687
200 0.00040687
200 0.00040687
200 0.00040687
201 0.00003434
201 0.00003434
201 0.00067843
201 0.00067843
201 0.00067843
201 0.00067843
201 0.00003434
201 0.00003434
201 0.00067843
201 0.00067843
201 0.00067843
201 0.00067843
201 0.00067843
201 0.00067843
202 0.00003434
202 0.00003434
202 0.00067843
202 0.00067843
202 0.00067843
202 0.00067843
202 0.00003434
202 0.00003434
202 0.00067843
202 0.00067843
202 0.00067843
202 0.00067843
202 0.00067843
202 0.00067843
203 0.00012774
203 0.00012774
203 0.00040687
203 0.00040687
203 0.00040687
203 0.00040687
203 0.00012774
203 0.00012774
203 0.00040687
203 0.00040687
203 0.00040687
203 0.00040687
203 0.00040687
203 0.00040687
204 0.00012774
204 0.00012774
204 0.00040687
204 0.00040687
204 0.00040687
204 0.00040687
204 0.00012774
204 0.00012774
204 0.00040687
204 0.00040687
204 0.00040687
204 0.00040687
204 0.00040687
204 0.00040687
205 0.00035738
205 0.00035738
205 0.00067843
205 0.00067843
205 0.00067843
205 0.00067843
205 0.00035738
205 0.00035738
205 0.00067843
205 0.00067843
205 0.00067843
205 0.00067843
205 0.00067843
205 0.00067843
206 0.00003434
206 0.00003434
206 0.00040687
206 0.00040687
206 0.00040687
206 0.00040687
206 0.00003434
206 0.00003434
206 0.00040687
206 0.00040687
206 0.00040687
206 0.00040687
206 0.00040687
206 0.00040687
207 0.00000673
207 0.00000673
207 0.0001154
207 0.0001154
207 0.0001154
207 0.0001154
207 0.00000673
207 0.00000673
207 0.0001154
207 0.0001154
207 0.0001154
207 0.0001154
207 0.0001154
207 0.0001154
208 0.00012774
208 0.00012774
208 0.00040687
208 0.00040687
208 0.00040687
208 0.00040687
208 0.00012774
208 0.00012774
208 0.00040687
208 0.00040687
208 0.00040687
208 0.00040687
208 0.00040687
208 0.00040687
209 0.00000673
209 0.00000673
209 0.00040687
209 0.00040687
209 0.00040687
209 0.00040687
209 0.00000673
209 0.00000673
209 0.00040687
209 0.00040687
209 0.00040687
209 0.00040687
209 0.00040687
209 0.00040687
210 0.00000673
210 0.00000673
210 0.00040687
210 0.00040687
210 0.00040687
210 0.00040687
210 0.00000673
210 0.00000673
210 0.00040687
210 0.00040687
210 0.00040687
210 0.00040687
210 0.00040687
210 0.00040687
211 0.00003434
211 0.00003434
211 0.00040687
211 0.00040687
211 0.00040687
211 0.00040687
211 0.00003434
211 0.00003434
211 0.00040687
211 0.00040687
211 0.00040687
211 0.00040687
211 0.00040687
211 0.00040687
229 0.00003434
229 0.00003434
229 0.00040687
229 0.00040687
229 0.00040687
229 0.00040687
229 0.00003434
229 0.00003434
229 0.00040687
229 0.00040687
229 0.00040687
229 0.00040687
229 0.00040687
229 0.00040687
230 0.00003434
230 0.00003434
230 0.00067843
230 0.00067843
230 0.00067843
230 0.00067843
230 0.00003434
230 0.00003434
230 0.00067843
230 0.00067843
230 0.00067843
230 0.00067843
230 0.00067843
230 0.00067843
231 0.00035738
231 0.00035738
231 0.00067843
231 0.00067843
231 0.00067843
231 0.00067843
231 0.00035738
231 0.00035738
231 0.00067843
231 0.00067843
231 0.00067843
231 0.00067843
231 0.00067843
231 0.00067843
232 0.00003434
232 0.00003434
232 0.00067843
232 0.00067843
232 0.00067843
232 0.00067843
232 0.00003434
232 0.00003434
232 0.00067843
232 0.00067843
232 0.00067843
232 0.00067843
232 0.00067843
232 0.00067843
233 0.00000673
233 0.00000673
233 0.00067843
233 0.00067843
233 0.00067843
233 0.00067843
233 0.00000673
233 0.00000673
233 0.00067843
233 0.00067843
233 0.00067843
233 0.00067843
233 0.00067843
233 0.00067843
234 0.00035738
234 0.00035738
234 0.00067843
234 0.00067843
234 0.00067843
234 0.00067843
234 0.00035738
234 0.00035738
234 0.00067843
234 0.00067843
234 0.00067843
234 0.00067843
234 0.00067843
234 0.00067843
235 0.00003434
235 0.00003434
235 0.00067843
235 0.00067843
235 0.00067843
235 0.00067843
235 0.00003434
235 0.00003434
235 0.00067843
235 0.00067843
235 0.00067843
235 0.00067843
235 0.00067843
235 0.00067843
236 0.00003434
236 0.00003434
236 0.00067843
236 0.00067843
236 0.00067843
236 0.00067843
236 0.00003434
236 0.00003434
236 0.00067843
236 0.00067843
236 0.00067843
236 0.00067843
236 0.00067843
236 0.00067843
237 0.00012774
237 0.00012774
237 0.00067843
237 0.00067843
237 0.00067843
237 0.00067843
237 0.00012774
237 0.00012774
237 0.00067843
237 0.00067843
237 0.00067843
237 0.00067843
237 0.00067843
237 0.00067843
238 0.00003434
238 0.00003434
238 0.00040687
238 0.00040687
238 0.00040687
238 0.00040687
238 0.00003434
238 0.00003434
238 0.00040687
238 0.00040687
238 0.00040687
238 0.00040687
238 0.00040687
238 0.00040687
239 0.00003434
239 0.00003434
239 0.00040687
239 0.00040687
239 0.00040687
239 0.00040687
239 0.00003434
239 0.00003434
239 0.00040687
239 0.00040687
239 0.00040687
239 0.00040687
239 0.00040687
239 0.00040687
240 0.00012774
240 0.00012774
240 0.00040687
240 0.00040687
240 0.00040687
240 0.00040687
240 0.00012774
240 0.00012774
240 0.00040687
240 0.00040687
240 0.00040687
240 0.00040687
240 0.00040687
240 0.00040687
241 0.00012774
241 0.00012774
241 0.00040687
241 0.00040687
241 0.00040687
241 0.00040687
241 0.00012774
241 0.00012774
